Group No;Group Name;Name;Sub Name;Repeater Call Sign;Gateway Call Sign;Frequency;Dup;Offset;Mode;TONE;Repeater Tone;RPT1USE;Position;Latitude;Longitude;UTC Offset;
48;Poland;Wolin;JO73HU;SR0WW;;438,825000;DUP-;7,600000;FM;TONE;82,5Hz;Yes;Approximate;53,840000;14,610000;+1:00;438,82500000
48;Poland;Czartoryja;JO72FW;SR1CH;;145,787500;DUP-;0,600000;FM;TONE;82,5Hz;Yes;Approximate;;;+1:00;145,78750000
48;Poland;Kolobrzeg;JO74SE;SR1G;;145,625000;DUP-;0,600000;FM;TONE;88,5Hz;Yes;Approximate;54,170000;15,550000;+1:00;145,62500000
48;Poland;Stargard;JO73MI;SR1K;;145,700000;DUP-;0,600000;FM;TONE;82,5Hz;Yes;Approximate;53,340000;15,020000;+1:00;145,70000000
48;Poland;KoszalinGoraChelmska;JO84CE;SR1KN;;438,675000;DUP-;7,600000;FM;OFF;;Yes;Approximate;54,200000;16,220000;+1:00;438,67500000
48;Poland;Koszalin;JO84CE;SR1N;;145,675000;DUP-;0,600000;FM;OFF;;Yes;Approximate;54,200000;16,170000;+1:00;145,67500000
48;Poland;Resko;JO73QS;SR1RE;;439,150000;DUP-;7,600000;FM;TONE;88,5Hz;Yes;Approximate;53,770000;15,400000;+1:00;439,15000000
48;Poland;Trzebiatow;JO74PB;SR1RG;;438,875000;DUP-;7,600000;FM;TONE;82,5Hz;Yes;Approximate;54,050000;15,250000;+1:00;438,87500000
48;Poland;Szczecin;JO73GL;SR1SZ;;439,075000;DUP-;7,600000;FM;TONE;82,5Hz;Yes;Approximate;53,450000;14,530000;+1:00;439,07500000
48;Poland;Swinoujscie;JO73DV;SR1UVH;;439,025000;DUP-;7,600000;DV;OFF;;Yes;Approximate;53,900000;14,250000;+1:00;439,02500000
48;Poland;Swinoujscie;JO73DV;SR1W;;145,612500;DUP-;0,600000;FM;TONE;82,5Hz;Yes;Approximate;53,900000;14,250000;+1:00;145,61250000
48;Poland;Walcz;JO83FG;SR1WA;;439,400000;DUP-;7,600000;FM;TONE;82,5Hz;Yes;Approximate;53,270000;16,480000;+1:00;439,40000000
48;Poland;Swinoujscie;JO73CV;SR1WU;;438,725000;DUP-;7,600000;FM;TONE;82,5Hz;Yes;Approximate;53,900000;14,240000;+1:00;438,72500000
48;Poland;Kolowo;JO73II;SR1Z;;145,637500;DUP-;0,600000;FM;TONE;82,5Hz;Yes;Approximate;53,330000;14,670000;+1:00;145,63750000
48;Poland;Kolowo;JO73II;SR1ZK  B;SR1ZK  G;439,300000;DUP-;7,600000;DV;OFF;;Yes;Approximate;53,330000;14,670000;+1:00;439,30000000
48;Poland;Bydgoszcz;JO93AC;SR2BG;;145,725000;DUP-;0,600000;FM;TONE;67,0Hz;Yes;Approximate;53,110000;18,030000;+1:00;145,72500000
48;Poland;BoryTucholskie;JO93AN;SR2BT;;439,100000;DUP-;7,600000;FM;TONE;77,0Hz;Yes;Approximate;53,540000;18,060000;+1:00;439,10000000
48;Poland;Bytow;JO84RE;SR2BW;;438,700000;DUP-;7,600000;FM;OFF;;Yes;Approximate;54,180000;17,490000;+1:00;438,70000000
48;Poland;Chwaszczyno;JO94FK;SR2C;;145,600000;DUP-;0,600000;FM;TONE;94,8Hz;Yes;Approximate;54,450000;18,430000;+1:00;145,60000000
48;Poland;Elblag;JO94RD;SR2EL;;439,550000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,130000;19,450000;+1:00;439,55000000
48;Poland;JablowoPaluckie;JO82WW;SR2FM;;439,537500;DUP-;7,600000;FM;TONE;74,4Hz;Yes;Approximate;52,910000;17,830000;+1:00;439,53750000
48;Poland;Wladyslawowo;JO94ES;SR2GA;;438,975000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,770000;18,410000;+1:00;438,97500000
48;Poland;Gdansk;JO94HI;SR2GD;;439,075000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,340000;18,660000;+1:00;439,07500000
48;Poland;Gdansk;JO94HI;SR2GD  B;SR2GD  G;439,087500;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,340000;18,660000;+1:00;439,08750000
48;Poland;PruszczGdanski;JO94GF;SR2GDA;;439,350000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,240000;18,540000;+1:00;439,35000000
48;Poland;Gniewino;JO94AR;SR2GN;;439,325000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,710000;18,050000;+1:00;439,32500000
48;Poland;Grudziadz;JO93JL;SR2GR;;439,200000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;53,480000;18,750000;+1:00;439,20000000
48;Poland;Chwaszczyno;JO94FK;SR2GS;;438,550000;DUP-;7,600000;FM;TONE;94,8Hz;Yes;Approximate;54,450000;18,430000;+1:00;438,55000000
